Rank,Author,Title,Citations,Year,Source,cit/year
2,"LeCun, Y Bengio, G Hinton",Deep learning,44337,2015,https://www.nature.com/articles/nature14539,6334
1,"Goodfellow, Y Bengio, A Courville",Deep learning,33377,2016,https://books.google.com/books?hl=en&lr=&id=omivDQAAQBAJ&oi=fnd&pg=PR5&dq=Deep+Learning&ots=MNP6epsAVR&sig=Tlcb6ZcuPIhkUH6Vki64B2omupQ,5563
22,Schmidhuber,Deep learning in neural networks: An overview,14304,2015,https://www.sciencedirect.com/science/article/pii/S0893608014002135,2043
95,"Paszke, S Gross, F Massa, A Lerer…","Pytorch: An imperative style, high-performance deep learning library",10733,2019,http://papers.nips.cc/paper/9015-pytorch-an-imperative-style-highperformance-deep-learning-library,3578
98,"Liu, P Luo, X Wang, X Tang",Deep learning face attributes in the wild,4460,2015,http://openaccess.thecvf.com/content_iccv_2015/html/Liu_Deep_Learning_Face_ICCV_2015_paper.html,637
7,"Deng, D Yu",Deep learning: methods and applications,3688,2014,https://dl.acm.org/doi/abs/10.1561/2000000039,461
21, Nielsen,Neural networks and deep learning,3315,2015,https://www.academia.edu/download/62971418/neuralnetworksanddeeplearning20200415-115041-1t7vxpc.pdf,474
13,"Ngiam, A Khosla, M Kim, J Nam, H Lee, AY Ng",Multimodal deep learning,2873,2011,https://openreview.net/forum?id=Hk4OO3W_bS,261
108,Chollet,Deep learning with Python,2789,2021,https://books.google.com/books?hl=en&lr=&id=XHpKEAAAQBAJ&oi=fnd&pg=PR9&dq=Deep+Learning&ots=BgWjfDPOMt&sig=qKijMfhj4EDwlCiQ7ujuOaiYXO0,2789
59,"Shen, G Wu, HI Suk",Deep learning in medical image analysis,2179,2017,https://www.annualreviews.org/doi/abs/10.1146/annurev-bioeng-071516-044442,436
72,"Sun, X Wang, X Tang","Deep learning face representation from predicting 10,000 classes",1991,2014,http://openaccess.thecvf.com/content_cvpr_2014/html/Sun_Deep_Learning_Face_2014_CVPR_paper.html,249
99," Bronstein, J Bruna, Y LeCun…",Geometric deep learning: going beyond euclidean data,1965,2017,https://ieeexplore.ieee.org/abstract/document/7974879/,393
39,"Gupta, A Agrawal…",Deep learning with limited numerical precision,1686,2015,http://proceedings.mlr.press/v37/gupta15.html,241
107,"Chetlur, C Woolley, P Vandermersch…",cudnn: Efficient primitives for deep learning,1564,2014,https://arxiv.org/abs/1410.0759,196
19,"Guo, Y Liu, A Oerlemans, S Lao, S Wu, MS Lew",Deep learning for visual understanding: A review,1483,2016,https://www.sciencedirect.com/science/article/pii/S0925231215017634,247
10,"Kamilaris, FX Prenafet",Deep learning in agriculture: A survey,1412,2018,https://www.sciencedirect.com/science/article/pii/S0168169917308803,353
97," Zhu, D Tuia, L Mou, GS Xia, L Zhang…",Deep learning in remote sensing: A comprehensive review and list of resources,1407,2017,https://ieeexplore.ieee.org/abstract/document/8113128/,281
70,"Shokri, V Shmatikov",Privacy-preserving deep learning,1370,2015,https://dl.acm.org/doi/abs/10.1145/2810103.2813687,196
41,"Voulodimos, N Doulamis, A Doulamis…",Deep learning for computer vision: A brief review,1196,2018,https://www.hindawi.com/journals/CIN/2018/7068349/,299
64,"Sun, A Shrivastava, S Singh…",Revisiting unreasonable effectiveness of data in deep learning era,1155,2017,http://openaccess.thecvf.com/content_iccv_2017/html/Sun_Revisiting_Unreasonable_Effectiveness_ICCV_2017_paper.html,231
6,"Bengio, I Goodfellow, A Courville",Deep learning,1151,2017,https://www.academia.edu/download/62266271/Deep_Learning20200303-80130-1s42zvt.pdf,230
31,"Ravì, C Wong, F Deligianni…",Deep learning for health informatics,1120,2016,https://ieeexplore.ieee.org/abstract/document/7801947/,187
18,"Denil, B Shakibi, L Dinh, MA Ranzato…",Predicting parameters in deep learning,1120,2013,https://arxiv.org/abs/1306.0543,124
65,"Esteva, A Robicquet, B Ramsundar, V Kuleshov…",A guide to deep learning in healthcare,1091,2019,https://www.nature.com/articles/s41591-018-0316-z,364
20," Le, J Ngiam, A Coates, A Lahiri, B Prochnow…",On optimization methods for deep learning,1066,2011,https://openreview.net/forum?id=Sk4lD3W_bB,97
25,"Min, B Lee, S Yoon",Deep learning in bioinformatics,1040,2017,https://academic.oup.com/bib/article-abstract/18/5/851/2562808,208
73,"Ching, DS Himmelstein…",Opportunities and obstacles for deep learning in biology and medicine,1034,2018,https://royalsocietypublishing.org/doi/abs/10.1098/rsif.2017.0387,258
57, Aggarwal,Neural networks and deep learning,1016,2018,https://link.springer.com/content/pdf/10.1007/978-3-319-94463-0.pdf,254
102,"Strubell, A Ganesh, A McCallum",Energy and policy considerations for deep learning in NLP,1013,2019,https://arxiv.org/abs/1906.02243,338
88," Chen, X Lin",Big data deep learning: challenges and perspectives,1008,2014,https://ieeexplore.ieee.org/abstract/document/6817512/,126
