Rank,Author,Title,Citations,Year,Source,cit/year
102, Rasmussen,Gaussian processes in machine learning,23748,2003,https://link.springer.com/chapter/10.1007/978-3-540-28650-9_4,1250
40,Alpaydin,Introduction to machine learning,10086,2020,https://books.google.com/books?hl=en&lr=&id=tZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=Machine+Learning&ots=F3UX9XcoAe&sig=ASbMBZXv2geRN2PldmdqhAIjAZ8,5043
19, Murphy,Machine learning: a probabilistic perspective,10055,2012,https://books.google.com/books?hl=en&lr=&id=RC43AgAAQBAJ&oi=fnd&pg=PR7&dq=Machine+Learning&ots=umiCdzSp14&sig=mBbd2hx8WMmMvu3ouRcS48MKyA4,1006
77, Dietterich,Ensemble methods in machine learning,7797,2000,https://link.springer.com/chapter/10.1007/3-540-45014-9_1,354
92," Kotsiantis, I Zaharakis, P Pintelas",Supervised machine learning: A review of classification techniques,5513,2007,https://books.google.com/books?hl=en&lr=&id=vLiTXDHr_sYC&oi=fnd&pg=PA3&dq=Machine+Learning&ots=CZnzxv3Cko&sig=b9rRu_9Is9oawO557Hn9wt3LW0o,368
52,"Asuncion, D Newman",UCI machine learning repository,4849,2007,https://ergodicity.net/2013/07/,323
70," Blum, P Langley",Selection of relevant features and examples in machine learning,4152,1997,https://www.sciencedirect.com/science/article/pii/S0004370297000635,166
10,Shale,Understanding machine learning: From theory to algorithms,4074,2014,https://books.google.com/books?hl=en&lr=&id=Hf6QAwAAQBAJ&oi=fnd&pg=PR15&dq=Machine+Learning&ots=2IsnQkoIN8&sig=Tk6r8tV9Gug400QdUuJMXR5hYCc,509
81,"Michie, DJ Spiegelhalter, CC Taylor","Machine learning, neural and statistical classification",3964,1994,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.27.355,142
4,"Mohri, A Rostamizadeh, A Talwalkar",Foundations of machine learning,3623,2018,https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=Machine+Learning&ots=AyqXYRxZn6&sig=iEC0YfzHSXLSGyf0WC3k7GtXzkI,906
15," Goldberg, JH Holland",Genetic algorithms and machine learning,3441,1988,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/46947/10994_2005_Article_422926.pdf,101
2," Jordan, TM Mitchell","Machine learning: Trends, perspectives, and prospects",3374,2015,https://science.sciencemag.org/content/349/6245/255.abstract,482
85," Michalski, JG Carbonell, TM Mitchell",Machine learning: An artificial intelligence approach,2668,2013,https://books.google.com/books?hl=en&lr=&id=-eqpCAAAQBAJ&oi=fnd&pg=PA2&dq=Machine+Learning&ots=Wm2TOz9Bk4&sig=JoL_836kh5jPdQxZ_ROxA4VeG84,296
30, King,Dlib-ml: A machine learning toolkit,2508,2009,https://www.jmlr.org/papers/volume10/king09a/king09a.pdf,193
61, Schapire,The boosting approach to machine learning: An overview,2441,2003,https://link.springer.com/chapter/10.1007/978-0-387-21579-2_9,128
37,Marsland,Machine learning: an algorithmic perspective,2038,2011,https://www.taylorfrancis.com/books/mono/10.1201/9781420067194/machine-learning-stephen-marsland,185
17, Dietterich,Machine-learning research,1993,1997,https://ojs.aaai.org/index.php/aimagazine/article/view/1324,80
36,"Baldi, S Brunak, F Bach",Bioinformatics: the machine learning approach,1867,2001,https://books.google.com/books?hl=en&lr=&id=pxSM7R1sdeQC&oi=fnd&pg=PR9&dq=Machine+Learning&ots=SNGKK70U-p&sig=XXI9xUYQUwIAwC7KXb8kveH-Zkg,89
109,"Meng, J Bradley, B Yavuz, E Sparks…",Mllib: Machine learning in apache spark,1854,2016,https://www.jmlr.org/papers/volume17/15-237/15-237.pdf,309
41,"Collobert, K Kavukcuoglu…",Torch7: A matlab-like environment for machine learning,1784,2011,https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf,162
62,Mitchell,Machine learning,1601,1997,https://uvaml1.github.io/2020/slides/1.2_WhatIsMachineLearning.pdf,64
108,Molnar,Interpretable machine learning,1591,2020,https://books.google.com/books?hl=en&lr=&id=jBm3DwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+Learning&ots=EguXZlJCU3&sig=NnG0VW2AJDl65zzsFz6uMabnU38,796
39," Butler, DW Davies, H Cartwright, O Isayev, A Walsh",Machine learning for molecular and materials science,1376,2018,https://www.nature.com/articles/s41586-018-0337-2,344
8,"Sammut, GI Webb",Encyclopedia of machine learning,1327,2011,https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PT29&dq=Machine+Learning&ots=91lfBtjzaR&sig=Ljt_WllyqPDTDo3QY1ORmunQgxE,121
94,Flach,Machine learning: the art and science of algorithms that make sense of data,1239,2012,https://books.google.com/books?hl=en&lr=&id=Ofp4h_oXsZ4C&oi=fnd&pg=PR15&dq=Machine+Learning&ots=XLr-mlgoPS&sig=tQkJuHN5mn50EWG_rR0Rce3xOcw,124
104,Burrell,How the machine 'thinks': Understanding opacity in machine learning algorithms,1222,2016,https://journals.sagepub.com/doi/abs/10.1177/2053951715622512,204
60,"Mullainathan, J Spiess",Machine learning: an applied econometric approach,1143,2017,https://www.aeaweb.org/articles?id=10.1257/jep.31.2.87,229
97,Quiñoner,Dataset shift in machine learning,1083,2009,https://books.google.com/books?hl=en&lr=&id=qJ0jEAAAQBAJ&oi=fnd&pg=PR9&dq=Machine+Learning&ots=3wwZR-h4Hi&sig=bh9_LDxzqqhDor_diAJoijRaJ_Q,83
50," Witten, E Frank, MA Hall, CJ Pal, M DATA",Practical machine learning tools and techniques,992,2005,https://doc1.bibliothek.li/acb/FLMF040119.pdf,58
24,Raschka,Python machine learning,971,2015,https://books.google.com/books?hl=en&lr=&id=GOVOCwAAQBAJ&oi=fnd&pg=PP1&dq=Machine+Learning&ots=NdaDLcXPYE&sig=WQZQL3rVblFqYIa8gxEZPZadEKc,139
35,Langley,Selection of relevant features in machine learning,964,1994,https://www.aaai.org/Papers/Symposia/Fall/1994/FS-94-02/FS94-02-034.pdf,34
76,"Low, JE Gonzalez, A Kyrola, D Bickson…",Graphlab: A new framework for parallel machine learning,954,2014,https://arxiv.org/abs/1408.2041,119
83,"Wu, B Ramsundar, EN Feinberg, J Gomes…",MoleculeNet: a benchmark for molecular machine learning,908,2018,https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a,227
6,Harrington,Machine learning in action,900,2012,https://books.google.com/books?hl=en&lr=&id=XTozEAAAQBAJ&oi=fnd&pg=PT18&dq=Machine+Learning&ots=pw_kN3OJfq&sig=o3Z_YZjdrVeLenI0h3pXFNxQ7iA,90
1,"Goodfellow, Y Bengio, A Courville",Machine learning basics,889,2016,https://mnassar.github.io/deeplearninghandbook/slides/05_ml.pdf,148
13,Langley,Elements of machine learning,877,1996,https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PP11&dq=Machine+Learning&ots=Q4nu-twVOj&sig=P-NluPWqrxaeePbSUcYzpxif27c,34
44,"Lee, J Caverlee, S Webb",Uncovering social spammers: social honeypots+ machine learning,854,2010,https://dl.acm.org/doi/abs/10.1145/1835449.1835522,71
106,"Zhang, Y Ma",Ensemble machine learning: methods and applications,823,2012,https://link.springer.com/content/pdf/10.1007/978-1-4419-9326-7.pdf,82
69, Dietterich,Machine learning for sequential data: A review,800,2002,https://link.springer.com/chapter/10.1007/3-540-70659-3_2,40
27," Liakos, P Busato, D Moshou, S Pearson, D Bochtis",Machine learning in agriculture: A review,798,2018,https://www.mdpi.com/327494,200
68,"Larranaga, B Calvo, R Santana…",Machine learning in bioinformatics,794,2006,https://academic.oup.com/bib/article-abstract/7/1/86/264025,50
47,Michie,“Memo” functions and machine learning,751,1968,https://www.nature.com/articles/218019a0,14
20,"Carleo, I Cirac, K Cranmer, L Daudet, M Schuld…",Machine learning and the physical sciences,728,2019,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,243
65,"Raschka, V Mirjalili",Python Machine Learning: Machine Learning and Deep Learning with Python,717,0,https://www.igi-global.com/pdf.aspx?tid%3D267132%26ptid%3D254262%26ctid%3D17%26t%3Dpython+machine+learning%3A+machine+learning+and+deep+learning+with+python%2C+scikit-learn%2C+and+tensorflow+2%2C+third+edition%26isxn%3D,0
29, Mitchell,The discipline of machine learning,700,2006,http://ra.adm.cs.cmu.edu/anon/usr0/ftp/anon/ml/CMU-ML-06-108.pdf,44
99, Mitchell,Machine learning and data mining,646,1999,https://dl.acm.org/doi/fullHtml/10.1145/319382.319388,28
